frame_index,filename,track_id,pixel_x,pixel_y,world_x,world_y,world_z,confidence
142,frame_00143.png,1,1839.737,768.653,0.601331,-1.46183,-0.225721,0.909961
143,frame_00144.png,1,1835.249,769.195,0.560268,-1.46183,-0.223749,0.880558
144,frame_00145.png,1,1828.699,770.179,0.516095,-1.46183,-0.22132,0.899796
145,frame_00146.png,1,1825.89,769.982,0.475278,-1.46183,-0.219416,0.862553
146,frame_00147.png,1,1821.936,769.748,0.433558,-1.46183,-0.217369,0.764582
147,frame_00148.png,1,1818.17,770.041,0.392059,-1.46183,-0.215041,0.682517
148,frame_00149.png,1,1812.085,771.441,0.349034,-1.46183,-0.212717,0.522164
150,frame_00151.png,1,1808.523,772.09,0.267147,-1.46183,-0.208458,0.399477
151,frame_00152.png,1,1802.472,770.994,0.225294,-1.46183,-0.207268,0.611236
152,frame_00153.png,1,1794.438,768.763,0.180823,-1.46183,-0.205926,0.691002
153,frame_00154.png,1,1792.092,769.414,0.13964,-1.46183,-0.203818,0.733921
154,frame_00155.png,1,1787.24,772.432,0.09723,-1.46183,-0.200624,0.877771
155,frame_00156.png,1,1783.273,776.278,0.056503,-1.46183,-0.196919,0.844502
156,frame_00157.png,1,1779.477,778.228,0.01359,-1.46183,-0.19366,0.847312
157,frame_00158.png,1,1771.277,777.367,-0.03012,-1.46183,-0.192325,0.849371
158,frame_00159.png,1,1768.21,778.295,-0.071036,-1.46183,-0.189701,0.839174
159,frame_00160.png,1,1761.395,778.454,-0.113859,-1.46183,-0.187354,0.838343
160,frame_00161.png,1,1761.01,781.375,-0.154198,-1.46183,-0.18465,0.877376
161,frame_00162.png,1,1754.523,780.881,-0.197639,-1.46183,-0.182633,0.890134
162,frame_00163.png,1,1753.406,783.131,-0.237799,-1.46183,-0.17958,0.894409
163,frame_00164.png,1,1748.157,783.344,-0.280334,-1.46183,-0.177346,0.87329
164,frame_00165.png,1,1739.074,780.297,-0.324135,-1.46183,-0.176846,0.861549
165,frame_00166.png,1,1736.775,782.035,-0.366014,-1.46183,-0.174161,0.846825
166,frame_00167.png,1,1731.154,782.071,-0.408019,-1.46183,-0.172082,0.889528
167,frame_00168.png,1,1725.379,781.448,-0.450644,-1.46183,-0.170502,0.863976
168,frame_00169.png,1,1721.281,781.954,-0.493095,-1.46183,-0.167975,0.909548
169,frame_00170.png,1,1719.365,786.945,-0.533838,-1.46183,-0.164132,0.903134
170,frame_00171.png,1,1713.302,786.609,-0.576456,-1.46183,-0.162212,0.892581
171,frame_00172.png,1,1709.523,789.452,-0.618239,-1.46183,-0.15907,0.898957
172,frame_00173.png,1,1706.042,790.67,-0.660286,-1.46183,-0.156817,0.900996
173,frame_00174.png,1,1701.842,791.952,-0.702044,-1.46183,-0.154285,0.909158
174,frame_00175.png,1,1694.368,788.365,-0.74493,-1.46183,-0.15391,0.889297
175,frame_00176.png,1,1688.731,787.32,-0.787538,-1.46183,-0.152034,0.821481
176,frame_00177.png,1,1682.939,787.474,-0.830553,-1.46183,-0.150066,0.770434
177,frame_00178.png,1,1678.341,788.453,-0.872827,-1.46183,-0.147598,0.807058
178,frame_00179.png,1,1674.383,789.989,-0.91493,-1.46183,-0.144903,0.87175
179,frame_00180.png,1,1667.677,790.682,-0.957521,-1.46183,-0.142518,0.863409
180,frame_00181.png,1,1662.993,789.723,-1.000383,-1.46183,-0.140814,0.75201
181,frame_00182.png,1,1660.578,796.786,-1.04155,-1.46183,-0.135734,0.881718
182,frame_00183.png,1,1639.425,795.01,-1.090777,-1.46183,-0.134665,0.888844
183,frame_00184.png,1,1645.507,799.176,-1.127849,-1.46183,-0.130957,0.898298
184,frame_00185.png,1,1628.152,796.507,-1.175583,-1.46183,-0.129828,0.86503
185,frame_00186.png,1,1635.987,794.837,-1.212892,-1.46183,-0.128057,0.851397
186,frame_00187.png,1,1634.823,800.062,-1.253833,-1.46183,-0.123943,0.817144
187,frame_00188.png,1,1614.109,796.402,-1.302072,-1.46183,-0.123419,0.814609
188,frame_00189.png,1,1619.825,795.117,-1.339801,-1.46183,-0.121599,0.836567
189,frame_00190.png,1,1619.033,794.95,-1.381034,-1.46183,-0.119464,0.863364
190,frame_00191.png,1,1611.887,796.367,-1.424726,-1.46183,-0.117196,0.820742
191,frame_00192.png,1,1606.752,796.762,-1.466243,-1.46183,-0.1151,0.840293
192,frame_00193.png,1,1588.09,797.116,-1.514632,-1.46183,-0.11281,0.81779
193,frame_00194.png,1,1579.31,799.725,-1.559004,-1.46183,-0.109754,0.831368
194,frame_00195.png,1,1591.136,800.61,-1.593897,-1.46183,-0.106913,0.829913
195,frame_00196.png,1,1592.298,800.66,-1.633787,-1.46183,-0.105137,0.716646
196,frame_00197.png,1,1587.275,800.881,-1.675862,-1.46183,-0.1026,0.81079
197,frame_00198.png,1,1584.012,802.926,-1.717469,-1.46183,-0.099808,0.838775
198,frame_00199.png,1,1578.334,803.068,-1.760675,-1.46183,-0.097736,0.713047
199,frame_00200.png,1,1572.48,804.384,-1.803249,-1.46183,-0.095142,0.862123
200,frame_00201.png,1,1566.948,804.125,-1.845604,-1.46183,-0.093356,0.77019
201,frame_00202.png,1,1563.03,805.472,-1.886914,-1.46183,-0.090533,0.290627
202,frame_00203.png,1,1556.274,805.023,-1.931166,-1.46183,-0.088656,0.812135
203,frame_00204.png,1,1549.504,806.549,-1.973435,-1.46183,-0.085277,0.767122
204,frame_00205.png,1,1544.149,807.465,-2.016159,-1.46183,-0.083401,0.804986
206,frame_00207.png,1,1532.903,807.057,-2.101183,-1.46183,-0.079046,0.844079
207,frame_00208.png,1,1527.558,808.02,-2.144416,-1.46183,-0.076622,0.869077
208,frame_00209.png,1,1523.802,808.986,-2.185616,-1.46183,-0.074304,0.842397
209,frame_00210.png,1,1517.504,809.87,-2.227787,-1.46183,-0.071897,0.843017
210,frame_00211.png,1,1513.881,811.725,-2.270042,-1.46183,-0.068681,0.650765
211,frame_00212.png,1,1509.052,812.02,-2.312413,-1.46183,-0.06637,0.853253
212,frame_00213.png,1,1501.702,811.824,-2.355518,-1.46183,-0.064604,0.876115
213,frame_00214.png,1,1497.232,812.681,-2.397618,-1.46183,-0.061759,0.865598
